HyPer_1,HyPer1_BG,HyPer_2,HyPer2_BG,HyPer_3,HyPer3_BG,HyPer4,HyPer4_BG,HyPer5,HyPer5_BG,HyPer6,HyPer6_BG,HyPer7,HyPer7_BG,HyPer8,HyPer8_BG,HyPer9,HyPer9_BG,HyPer10,HyPer10_BG,HyPer11,HyPer11_BG,HyPer12,HyPer12_BG,HyPer13,HyPer13_BG,HyPer14,HyPer14_BG,HyPer15,HyPer15_BG,HyPer16,HyPer16_BG,HyPer17,HyPer17_BG,HyPer18,HyPer18_BG
8.171,0.46,5.837,1.064,4.099,0.417,14.552,1.192,14.46,0.714,11.406,0.686,7.192,0.358,11.699,0.242,7.502,0.252,7.794,0.303,7.326,0.303,5.938,0.15,13.733,1.248,11.787,1.248,11.359,0.719,11.789,0.574,19.3,0.574,18.492,0.238
8.403,0.511,5.924,1.115,4.174,0.404,14.974,1.271,15.135,0.7,11.833,0.69,7.382,0.368,11.695,0.218,7.468,0.28,7.932,0.329,7.397,0.329,6.109,0.174,14.121,1.259,12.079,1.259,11.319,0.626,11.984,0.606,19.53,0.606,18.885,0.225
8.598,0.507,5.989,1.127,4.27,0.417,15.485,1.342,15.476,0.668,12.299,0.616,7.677,0.324,11.703,0.271,7.52,0.269,8.079,0.336,7.45,0.336,6.137,0.162,14.442,1.301,12.406,1.301,11.334,0.647,12.191,0.563,19.774,0.563,19.26,0.231
8.778,0.507,6.084,1.232,4.359,0.386,15.696,1.318,15.992,0.675,12.787,0.621,7.91,0.408,11.893,0.255,7.651,0.306,8.163,0.338,7.595,0.338,6.303,0.171,14.699,1.241,12.567,1.241,11.511,0.638,12.412,0.669,20.192,0.669,19.534,0.238
8.924,0.546,6.15,1.043,4.439,0.405,16.203,1.224,16.371,0.619,13.131,0.698,8.159,0.424,12,0.305,7.685,0.296,8.29,0.35,7.725,0.35,6.368,0.171,14.926,1.315,12.915,1.315,11.592,0.661,12.717,0.672,20.281,0.672,19.738,0.252
9.084,0.446,6.186,1.203,4.525,0.398,16.564,1.3,16.603,0.667,13.566,0.573,8.334,0.358,11.926,0.247,7.644,0.301,8.458,0.282,7.976,0.282,6.537,0.144,15.211,1.262,13.222,1.262,11.793,0.707,12.785,0.58,20.513,0.58,20.04,0.225
9.256,0.472,6.214,1.191,4.595,0.437,16.813,1.242,17.035,0.61,13.932,0.667,8.496,0.363,11.921,0.253,7.605,0.343,8.544,0.301,8.034,0.301,6.579,0.15,15.344,1.234,13.453,1.234,11.774,0.694,13.013,0.589,20.708,0.589,20.169,0.215
9.351,0.456,6.288,1.191,4.66,0.433,16.928,1.303,17.105,0.575,14.218,0.681,8.76,0.4,11.929,0.258,7.501,0.301,8.662,0.306,8.211,0.306,6.62,0.181,15.469,1.257,13.615,1.257,11.877,0.674,13.166,0.639,20.841,0.639,20.49,0.246
9.522,0.507,6.388,1.191,4.733,0.396,17.216,1.358,17.402,0.608,14.529,0.728,8.894,0.416,11.98,0.242,7.631,0.326,8.81,0.322,8.288,0.322,6.694,0.183,15.505,1.236,13.836,1.236,12.031,0.746,13.313,0.619,21.004,0.619,20.634,0.264
9.65,0.478,6.42,1.179,4.789,0.456,17.588,1.297,17.403,0.586,14.811,0.649,9.094,0.403,11.96,0.303,7.609,0.296,8.912,0.319,8.434,0.319,6.799,0.171,15.667,1.264,14.063,1.264,11.997,0.696,13.49,0.574,21.143,0.574,20.781,0.26
9.832,0.462,6.473,1.179,4.872,0.396,17.669,1.313,17.62,0.63,14.97,0.677,9.314,0.408,11.927,0.284,7.577,0.287,8.966,0.306,8.468,0.306,6.792,0.211,15.637,1.273,14.217,1.273,11.992,0.696,13.624,0.694,21.19,0.694,20.838,0.215
9.876,0.404,6.557,1.25,4.964,0.361,17.444,1.208,17.259,0.644,14.894,0.677,9.503,0.382,12.108,0.276,7.564,0.31,9.097,0.359,8.422,0.359,6.734,0.199,15.655,1.319,14.356,1.319,12.019,0.731,13.687,0.656,21.201,0.656,20.741,0.287
9.957,0.415,6.499,1.203,4.987,0.411,17.582,1.411,17.508,0.607,15.254,0.693,9.7,0.403,12.024,0.237,7.632,0.296,9.15,0.319,8.539,0.319,6.857,0.16,15.74,1.248,14.547,1.248,11.998,0.688,13.761,0.622,21.068,0.622,20.841,0.229
